Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
161,Tomas Plekanec\plekato01,33,C,MTL,82,14,40,54,4,36,13,1,0,1,28,12,0,189,7.4,1520,18:32,46,60,804,811,49.8
162,Drew Doughty\doughdr01,26,D,LAK,82,14,37,51,24,52,4,9,1,3,21,15,1,197,7.1,2297,28:01,105,125,0,0,
163,Brent Seabrook\seabrbr01,30,D,CHI,81,14,35,49,6,32,8,6,0,3,16,19,0,167,8.4,1849,22:49,150,121,0,0,
164,Kevin Shattenkirk\shattke01,27,D,STL,72,14,30,44,-14,51,8,6,0,1,9,20,1,180,7.8,1614,22:25,113,82,0,0,
165,Teddy Purcell\purcete01,30,RW,TOT,76,14,29,43,-11,12,12,2,0,2,20,8,1,149,9.4,1279,16:50,15,31,2,4,33.3
166,Travis Zajac\zajactr01,30,C,NJD,74,14,28,42,3,25,6,6,2,2,16,11,1,111,12.6,1469,19:51,41,65,715,672,51.6
167,Alex Killorn\killoal01,26,C,TBL,81,14,26,40,14,44,11,3,0,3,22,3,1,154,9.1,1360,16:48,23,76,31,49,38.8
168,Carl Hagelin\hagelca01,27,LW,TOT,80,14,25,39,8,32,14,0,0,6,23,0,2,178,7.9,1257,15:42,33,84,6,8,42.9
169,Mike Cammalleri\cammami01,33,LW,NJD,42,14,24,38,15,18,11,3,0,1,17,7,0,101,13.9,810,19:17,13,15,7,7,50.0
170,Tyler Johnson\johnsty01,25,C,TBL,69,14,24,38,4,20,11,3,0,7,14,10,0,167,8.4,1183,17:08,25,46,479,507,48.6
171,Tobias Rieder\riedeto01,23,RW,ARI,82,14,23,37,-21,10,12,2,0,1,16,6,1,189,7.4,1419,17:18,43,54,10,19,34.5
172,Kevin Hayes\hayeske01,23,RW,NYR,79,14,22,36,4,30,11,3,0,3,19,3,0,133,10.5,1079,13:40,23,59,137,244,36.0
173,Benoit Pouliot\poulibe01,29,LW,EDM,55,14,22,36,-6,30,8,5,1,0,18,4,0,109,12.8,883,16:03,25,35,20,29,40.8
174,Vladislav Namestnikov\namesvl01,23,C,TBL,80,14,21,35,17,45,13,1,0,2,18,3,0,106,13.2,1129,14:07,33,49,175,216,44.8
175,Erik Haula\haulaer01,24,C,MIN,76,14,20,34,21,24,12,0,2,2,17,1,2,99,14.1,967,12:44,55,57,416,365,53.3
176,Andrew Shaw\shawan01,24,RW,CHI,78,14,20,34,11,69,10,4,0,2,16,4,0,153,9.2,1143,14:39,21,148,146,168,46.5
177,Brandon Pirri\pirribr01,24,C,TOT,61,14,15,29,-4,30,11,3,0,3,8,7,0,128,10.9,886,14:31,14,66,66,77,46.2
178,James van Riemsdyk\vanrija01,26,LW,TOR,40,14,15,29,3,6,9,5,0,0,11,4,0,129,10.9,711,17:46,7,52,1,1,50.0
179,Dale Weise\weiseda01,27,RW,TOT,71,14,13,27,4,24,11,3,0,1,10,3,0,136,10.3,952,13:25,26,127,16,19,45.7
180,Tomas Fleischmann\fleisto01,31,LW,TOT,76,14,11,25,-8,32,13,0,1,3,10,1,0,123,11.4,1156,15:13,19,40,24,19,55.8
181,Riley Sheahan\sheahri01,24,C,DET,81,14,11,25,-8,12,10,3,1,2,10,1,0,128,10.9,1234,15:14,40,72,358,424,45.8
182,Devante Smith-Pelly\smithde06,23,RW,TOT,64,14,11,25,-3,30,14,0,0,5,10,1,0,94,14.9,787,12:18,23,105,2,3,40.0
183,Ryan Getzlaf\getzlry01,30,C,ANA,77,13,50,63,14,55,7,6,0,5,33,16,1,178,7.3,1502,19:30,61,108,602,617,49.4
184,Henrik Zetterberg\zettehe01,35,LW,DET,82,13,37,50,-15,24,11,2,0,3,17,20,0,214,6.1,1592,19:25,26,54,539,536,50.1
185,Tyson Barrie\barrity01,24,D,COL,78,13,36,49,-16,31,9,3,1,5,17,18,1,172,7.6,1810,23:12,84,37,0,0,
186,Ryan Spooner\spoonry01,24,C,BOS,80,13,36,49,-9,35,7,6,0,4,25,11,0,162,8.0,1211,15:08,19,53,304,407,42.8
187,Mikael Granlund\granlmi01,23,C,MIN,82,13,31,44,-12,20,10,2,1,3,22,9,0,160,8.1,1486,18:07,56,86,528,556,48.7
188,Martin Hanzal\hanzama01,28,C,ARI,64,13,28,41,-5,77,9,3,1,2,18,10,0,141,9.2,1139,17:48,28,126,586,462,55.9
189,Ales Hemsky\hemskal01,32,RW,DAL,75,13,26,39,3,20,12,1,0,0,22,4,0,155,8.4,983,13:06,26,25,2,4,33.3
190,Eric Staal\staaler01,31,C,TOT,83,13,26,39,-3,34,12,1,0,0,20,6,0,199,6.5,1540,18:33,33,74,446,396,53.0
191,Teuvo Teravainen\teravte01,21,C,CHI,78,13,22,35,-2,20,11,2,0,3,14,7,1,136,9.6,1197,15:21,31,24,125,184,40.5
192,Marian Hossa\hossama01,37,RW,CHI,64,13,20,33,10,24,8,2,3,2,12,7,1,191,6.8,1105,17:16,33,37,0,2,0.0
193,Michael Raffl\rafflmi01,27,LW,PHI,82,13,18,31,9,30,12,1,0,4,17,1,0,132,9.8,1173,14:18,34,135,33,49,40.2
194,Kyle Turris\turriky01,26,C,OTT,57,13,17,30,-15,32,10,3,0,2,11,5,1,122,10.7,1123,19:42,31,44,536,508,51.3
195,Jimmy Hayes\hayesji01,26,RW,BOS,75,13,16,29,-12,60,10,3,0,0,14,2,0,127,10.2,1037,13:50,15,128,42,70,37.5
196,Antoine Roussel\roussan01,26,LW,DAL,80,13,16,29,11,123,13,0,0,6,14,1,1,111,11.7,1109,13:51,58,123,15,20,42.9
197,Oscar Lindberg\lindbos02,24,C,NYR,68,13,15,28,12,43,12,1,0,2,13,2,0,114,11.4,828,12:11,36,132,134,143,48.4
198,Radim Vrbata\vrbatra01,34,RW,VAN,63,13,14,27,-30,12,8,5,0,0,10,4,0,199,6.5,1011,16:03,12,15,4,10,28.6
199,Lars Eller\ellerla01,26,C,MTL,79,13,13,26,-13,28,11,1,1,2,13,0,0,149,8.7,1205,15:15,36,111,207,202,50.6
200,Darren Helm\helmda01,29,C,DET,77,13,13,26,-2,32,13,0,0,3,13,0,0,165,7.9,1160,15:04,26,115,39,38,50.6
201,Mike Fisher\fishemi01,35,C,NSH,70,13,10,23,-14,29,10,3,0,2,7,2,1,98,13.3,1201,17:10,74,142,668,582,53.4
202,Jason Zucker\zuckeja01,24,LW,MIN,71,13,10,23,-5,20,12,0,1,1,7,2,1,158,8.2,1106,15:35,33,83,1,1,50.0
203,Brian Boyle\boylebr01,31,C,TBL,76,13,7,20,-7,57,9,2,2,4,6,1,0,117,11.1,981,12:55,48,115,346,336,50.7
204,Carl Soderberg\soderca01,30,C,COL,82,12,39,51,-7,32,8,3,1,0,27,11,1,163,7.4,1477,18:01,71,27,338,381,47.0
205,Dougie Hamilton\hamildo01,22,D,CGY,82,12,31,43,-14,46,7,5,0,3,20,11,0,190,6.3,1621,19:46,106,78,0,0,
206,Nick Foligno\foligni01,28,LW,CBJ,72,12,25,37,-14,53,12,0,0,2,12,13,0,149,8.1,1216,16:54,46,152,83,93,47.2
207,Blake Comeau\comeabl01,29,LW,COL,81,12,24,36,-9,58,8,2,2,3,18,6,0,142,8.5,1428,17:38,35,173,276,290,48.8
208,David Perron\perroda01,27,LW,TOT,71,12,24,36,-1,62,8,4,0,1,16,8,0,147,8.2,1080,15:13,23,142,2,8,20.0
209,Tyler Bozak\bozakty01,29,C,TOR,57,12,23,35,-9,18,9,3,0,1,16,7,0,99,12.1,988,17:20,24,46,597,462,56.4
210,Ryan Nugent-Hopkins\nugenry01,22,C,EDM,55,12,22,34,-9,18,8,4,0,1,15,7,0,108,11.1,1048,19:04,36,39,369,454,44.8
211,Brian Gionta\giontbr01,37,RW,BUF,79,12,21,33,-5,12,11,1,0,2,16,5,0,169,7.1,1401,17:44,36,46,54,66,45.0
212,Josh Bailey\bailejo01,26,RW,NYI,81,12,20,32,-7,22,8,4,0,2,19,1,0,105,11.4,1284,15:51,25,45,14,20,41.2
213,Shawn Matthias\matthsh01,27,C,TOT,71,12,16,28,-17,20,12,0,0,2,15,0,1,101,11.9,959,13:31,39,68,9,15,37.5
214,Patrick Maroon\maroopa01,27,LW,TOT,72,12,15,27,-7,88,7,5,0,1,12,3,0,104,11.5,888,12:20,10,151,17,36,32.1
215,Vernon Fiddler\fiddlve01,35,C,DAL,82,12,10,22,5,31,9,1,2,0,7,1,2,98,12.2,954,11:38,39,42,455,442,50.7
216,Marian Gaborik\gaborma01,33,RW,LAK,54,12,10,22,-6,20,11,1,0,3,7,3,0,142,8.5,807,14:57,17,29,1,2,33.3
217,Henrik Sedin\sedinhe01,35,C,VAN,74,11,44,55,0,24,5,5,1,0,29,15,0,99,11.1,1360,18:23,19,9,620,727,46.0
218,Jakub Voracek\voracja01,26,RW,PHI,73,11,44,55,-5,38,10,1,0,2,22,22,0,213,5.2,1357,18:35,34,51,3,3,50.0
219,Sean Couturier\coutuse01,23,C,PHI,63,11,28,39,8,30,9,2,0,1,22,5,1,119,9.2,1172,18:36,30,31,537,568,48.6
220,Elias Lindholm\lindhel01,21,C,CAR,82,11,28,39,-23,24,9,2,0,3,14,14,0,176,6.3,1485,18:07,45,112,213,221,49.1
221,Joonas Donskoi\donskjo01,23,RW,SJS,76,11,25,36,4,20,8,3,0,1,20,5,0,107,10.3,1076,14:09,46,31,2,1,66.7
222,Jason Pominville\pominja01,33,RW,MIN,75,11,25,36,10,12,8,3,0,2,18,7,0,187,5.9,1227,16:22,31,31,37,45,45.1
223,Brad Richardson\richabr02,30,RW,ARI,82,11,20,31,8,46,11,0,0,3,20,0,0,117,9.4,1281,15:37,53,57,523,438,54.4
224,David Desharnais\deshada01,29,C,MTL,65,11,18,29,-6,20,8,3,0,4,16,2,0,90,12.2,1040,16:00,25,31,391,412,48.7
225,Jared Spurgeon\spurgja01,26,D,MIN,77,11,18,29,10,14,6,5,0,2,7,8,3,122,9.0,1746,22:41,157,51,0,0,
226,Dustin Brown\browndu01,31,RW,LAK,82,11,17,28,-5,30,9,2,0,0,15,1,1,218,5.0,1326,16:10,20,234,8,9,47.1
227,Erik Johnson\johnser01,27,D,COL,73,11,16,27,-19,50,6,3,2,0,12,3,1,175,6.3,1711,23:27,197,126,0,1,0.0
228,Matt Read\readma01,29,RW,PHI,79,11,15,26,-5,27,9,2,0,2,10,5,0,127,8.7,1205,15:15,60,81,24,26,48.0
229,Matt Calvert\calvema01,26,LW,CBJ,73,11,13,24,1,51,10,1,0,1,13,0,0,114,9.6,1104,15:08,46,91,7,7,50.0
230,Colton Sceviour\scevico01,26,C,DAL,71,11,12,23,6,21,10,1,0,1,9,2,1,125,8.8,900,12:40,52,71,9,15,37.5
231,Torrey Mitchell\mitchto01,31,C,MTL,71,11,8,19,2,51,10,0,1,3,6,0,2,69,15.9,901,12:41,38,67,370,347,51.6
232,Paul Byron\byronpa01,26,C,MTL,62,11,7,18,-9,11,8,0,3,2,5,0,2,50,22.0,853,13:46,25,112,3,2,60.0
233,David Jones\jonesda01,31,RW,TOT,75,11,7,18,-7,10,10,1,0,2,7,0,0,84,13.1,933,12:26,33,147,17,17,50.0
234,Patrick Eaves\eavespa01,31,RW,DAL,54,11,6,17,-5,27,6,5,0,2,4,2,0,86,12.8,700,12:58,20,70,3,8,27.3
235,Ryan White\whitery01,27,C,PHI,73,11,5,16,-9,101,8,3,0,0,5,0,0,88,12.5,917,12:34,51,208,184,167,52.4
236,Joffrey Lupul\lupuljo01,32,LW,TOR,46,11,3,14,-10,12,9,2,0,2,1,2,0,102,10.8,673,14:37,14,58,0,4,0.0
237,John Klingberg\klingjo01,23,D,DAL,76,10,48,58,22,30,8,2,0,4,28,20,0,171,5.8,1724,22:41,68,44,0,0,
238,Paul Stastny\stastpa01,30,C,STL,64,10,39,49,3,26,8,2,0,2,27,12,0,103,9.7,1226,19:09,40,32,684,536,56.1
239,Victor Hedman\hedmavi01,25,D,TBL,78,10,37,47,21,46,9,1,0,0,26,10,1,180,5.6,1799,23:04,132,62,0,0,
240,Ryan Ellis\ellisry01,25,D,NSH,79,10,22,32,13,35,6,3,1,2,18,4,0,152,6.6,1651,20:54,100,61,0,0,
241,Alec Martinez\martial01,28,D,LAK,78,10,21,31,16,40,6,4,0,4,11,9,1,124,8.1,1650,21:09,182,164,0,0,
242,Jesper Fast\fastje01,24,RW,NYR,79,10,20,30,9,18,10,0,0,3,20,0,0,75,13.3,1180,14:56,55,109,1,5,16.7
243,Ryan Callahan\callary01,30,RW,TBL,73,10,18,28,-5,45,8,2,0,1,16,2,0,156,6.4,1258,17:14,71,164,21,15,58.3
244,Hampus Lindholm\lindhha01,22,D,ANA,80,10,18,28,7,40,5,4,1,1,7,11,0,149,6.7,1760,22:00,115,68,0,0,
245,Brad Richards\richabr01,35,C,DET,68,10,18,28,4,8,6,4,0,1,8,10,0,164,6.1,1006,14:48,12,16,124,126,49.6
246,Cody Ceci\cecico01,22,D,OTT,75,10,16,26,9,18,10,0,0,2,14,2,0,116,8.6,1448,19:18,130,70,0,0,
247,Mathew Dumba\dumbama01,21,D,MIN,81,10,16,26,1,38,4,6,0,3,10,6,0,152,6.6,1364,16:50,56,83,0,0,
248,Mark Letestu\letesma01,30,C,EDM,82,10,15,25,-21,10,5,3,2,0,5,9,1,107,9.3,1294,15:47,33,68,596,566,51.3
249,Dan Boyle\boyleda01,39,D,NYR,74,10,14,24,0,30,7,3,0,0,7,7,0,95,10.5,1392,18:49,105,66,0,0,
250,Joakim Nordstrom\nordsjo02,23,LW,CAR,71,10,14,24,1,12,9,0,1,1,14,0,0,81,12.3,1109,15:38,32,98,6,4,60.0
251,Marcus Foligno\foligma01,24,LW,BUF,75,10,13,23,4,79,8,0,2,2,11,2,0,81,12.3,989,13:11,44,193,1,3,25.0
252,Lauri Korpikoski\korpila01,29,LW,EDM,71,10,12,22,-17,10,7,2,1,2,8,4,0,88,11.4,989,13:56,56,100,18,16,52.9
253,John Mitchell\mitchjo01,31,C,COL,71,10,11,21,-7,52,10,0,0,3,10,1,0,101,9.9,1082,15:15,65,85,415,434,48.9
254,Melker Karlsson\karlsme01,25,C,SJS,65,10,9,19,5,16,10,0,0,1,9,0,0,96,10.4,879,13:31,48,76,11,12,47.8
255,Matt Martin\martima02,26,LW,NYI,80,10,9,19,2,119,10,0,0,1,9,0,0,86,11.6,845,10:33,24,365,1,3,25.0
256,Vincent Lecavalier\lecavvi01,35,C,TOT,49,10,8,18,0,22,4,6,0,0,7,1,0,67,14.9,649,13:14,22,62,297,288,50.8
257,Johan Larsson\larssjo02,23,LW,BUF,74,10,7,17,-4,27,9,1,0,5,4,3,0,95,10.5,1097,14:49,33,113,388,371,51.1
258,Patrik Berglund\berglpa01,27,C,STL,42,10,5,15,1,16,6,4,0,5,5,0,0,80,12.5,651,15:29,17,48,139,138,50.2
259,Duncan Keith\keithdu01,32,D,CHI,67,9,34,43,13,26,5,4,0,4,19,14,1,130,6.9,1691,25:14,116,16,0,1,0.0
260,Mathieu Perreault\perrema01,28,C,WPG,71,9,32,41,-11,36,3,6,0,1,23,9,0,133,6.8,1175,16:33,33,83,94,109,46.3
261,Rasmus Ristolainen\ristora01,21,D,BUF,82,9,32,41,-21,33,5,4,0,1,15,17,0,202,4.5,2073,25:17,137,139,0,0,
262,Sami Vatanen\vatansa01,24,D,ANA,71,9,29,38,8,20,5,4,0,2,14,15,0,140,6.4,1513,21:19,105,85,0,0,
263,Zdeno Chara\charazd01,38,D,BOS,80,9,28,37,12,71,8,1,0,3,17,9,2,158,5.7,1928,24:06,123,134,0,1,0.0
264,Morgan Rielly\riellmo01,21,D,TOR,82,9,27,36,-17,28,6,2,1,0,21,6,0,167,5.4,1905,23:14,122,58,0,0,
265,Jori Lehtera\lehtejo01,28,C,STL,79,9,25,34,12,38,8,1,0,3,17,8,0,83,10.8,1271,16:05,26,43,485,484,50.1
266,Ryan McDonagh\mcdonry01,26,D,NYR,73,9,25,34,26,22,7,2,0,0,17,7,1,113,8.0,1632,22:21,138,98,1,0,100.0
267,Anton Stralman\stralan01,29,D,TBL,73,9,25,34,16,20,8,1,0,0,14,11,0,127,7.1,1612,22:05,73,99,0,0,
268,Colton Parayko\parayco01,22,D,STL,79,9,24,33,28,29,6,3,0,3,20,4,0,165,5.5,1532,19:23,122,102,0,0,
269,Andrew Cogliano\coglian01,28,LW,ANA,82,9,23,32,2,28,7,0,2,3,22,0,1,131,6.9,1183,14:26,27,124,6,11,35.3
270,Nick Bonino\boninni01,27,C,PIT,63,9,20,29,13,31,6,2,1,0,20,0,0,97,9.3,998,15:50,67,22,463,455,50.4
271,Valeri Nichushkin\nichuva01,20,RW,DAL,79,9,20,29,2,12,8,1,0,1,19,1,0,139,6.5,1101,13:56,33,68,0,1,0.0
272,Peter Holland\hollape01,25,C,TOR,65,9,18,27,-16,28,4,5,0,1,12,6,0,138,6.5,953,14:40,19,78,216,249,46.5
273,Tyler Myers\myersty01,25,D,WPG,73,9,18,27,6,72,9,0,0,0,15,2,1,140,6.4,1651,22:37,95,54,0,1,0.0
274,Kevin Klein\kleinke01,31,D,NYR,69,9,17,26,16,19,9,0,0,4,16,1,0,69,13.0,1407,20:23,155,117,0,0,
275,Johnny Boychuk\boychjo01,32,D,NYI,70,9,16,25,17,31,8,1,0,1,12,4,0,165,5.5,1496,21:22,140,149,0,0,
276,Brett Connolly\connobr01,23,RW,BOS,71,9,16,25,-1,20,7,2,0,2,13,3,0,95,9.5,920,12:58,36,137,14,17,45.2
277,Mikhail Grabovski\grabomi01,32,C,NYI,58,9,16,25,3,33,8,1,0,2,14,2,0,83,10.8,818,14:06,26,28,221,242,47.7
278,Jordan Martinook\martijo01,23,LW,ARI,81,9,15,24,-9,18,8,0,1,2,13,1,1,109,8.3,1230,15:11,40,52,18,15,54.5
279,Andrej Nestrasil\nestran01,24,C,CAR,55,9,14,23,4,8,7,2,0,1,14,0,0,105,8.6,789,14:21,13,27,8,17,32.0
280,Alexandre Burrows\burroal01,34,RW,VAN,79,9,13,22,-13,49,7,2,0,0,9,4,0,135,6.7,1198,15:10,33,81,10,12,45.5
281,Nikolai Kulemin\kulemni01,29,LW,NYI,81,9,13,22,13,22,9,0,0,3,13,0,0,92,9.8,1139,14:04,50,107,23,36,39.0
282,Riley Nash\nashri02,26,C,CAR,64,9,13,22,-5,18,7,2,0,1,9,4,0,76,11.8,829,12:57,21,58,193,197,49.5
283,William Karlsson\karlswi01,23,C,CBJ,81,9,11,20,-9,6,9,0,0,1,11,0,0,108,8.3,1172,14:28,48,40,416,495,45.7
284,Viktor Stalberg\stalbvi01,30,LW,NYR,75,9,11,20,6,22,9,0,0,0,11,0,0,125,7.2,915,12:12,33,144,2,4,33.3
285,Michael Grabner\grabnmi01,28,RW,TOR,80,9,9,18,-4,12,8,0,1,2,9,0,0,116,7.8,1158,14:28,55,41,3,10,23.1
286,Jared McCann\mccanja01,19,C,VAN,69,9,9,18,-6,32,8,1,0,1,7,2,0,106,8.5,864,12:31,19,45,181,341,34.7
287,Mike Santorelli\santomi01,30,C,ANA,70,9,9,18,-4,8,8,1,0,1,7,2,0,81,11.1,706,10:06,20,28,75,83,47.5
288,Andreas Athanasiou\athanan01,21,C,DET,37,9,5,14,1,5,8,0,1,1,5,0,0,53,17.0,334,9:01,8,17,53,76,41.1
289,Ryan Suter\suterry01,31,D,MIN,82,8,43,51,10,30,4,3,1,2,24,18,1,188,4.3,2345,28:36,142,69,0,0,
290,Jake Muzzin\muzzija01,26,D,LAK,82,8,32,40,7,64,7,1,0,1,19,12,1,203,3.9,1891,23:04,135,197,0,0,
291,Alexander Wennberg\wennbal01,21,C,CBJ,69,8,32,40,-1,2,7,1,0,1,21,11,0,97,8.2,1094,15:52,46,32,400,522,43.4
292,John Carlson\carlsjo01,26,D,WSH,56,8,31,39,16,14,6,2,0,4,18,12,1,124,6.5,1327,23:42,114,46,0,0,
293,Marc-Edouard Vlasic\vlasima01,28,D,SJS,67,8,31,39,15,48,6,2,0,0,21,8,2,116,6.9,1550,23:08,129,47,0,2,0.0
294,Mattias Ekholm\ekholma01,25,D,NSH,82,8,27,35,14,44,6,1,1,3,22,4,1,114,7.0,1660,20:15,106,67,0,0,
295,Alex Tanguay\tangual01,36,LW,TOT,70,8,27,35,8,32,7,1,0,1,18,8,1,71,11.3,1105,15:47,36,22,3,2,60.0
296,Francois Beauchemin\beaucfr01,35,D,COL,82,8,26,34,-7,38,6,2,0,2,15,9,2,127,6.3,2057,25:05,256,78,0,0,
297,Valtteri Filppula\filppva01,31,C,TBL,76,8,23,31,-6,46,6,1,1,2,16,7,0,101,7.9,1388,18:15,25,30,632,584,52.0
298,Casey Cizikas\cizikca01,24,C,NYI,80,8,22,30,4,31,7,0,1,4,20,0,2,84,9.5,1015,12:41,62,158,469,490,48.9
299,Dmitry Orlov\orlovdm01,24,D,WSH,82,8,21,29,8,26,8,0,0,3,19,2,0,90,8.9,1314,16:02,61,121,0,0,
300,Ryan Strome\stromry01,22,RW,NYI,71,8,20,28,-9,28,7,1,0,0,17,3,0,132,6.1,1112,15:39,19,77,39,56,41.1
301,Brad Boyes\boyesbr01,33,RW,TOR,60,8,16,24,-6,12,6,2,0,1,13,3,0,85,9.4,718,11:58,17,20,9,5,64.3
302,Nail Yakupov\yakupna01,22,RW,EDM,60,8,15,23,-16,24,7,1,0,1,10,5,0,127,6.3,853,14:13,21,54,0,1,0.0
303,J.T. Brown\brownjt01,25,RW,TBL,78,8,14,22,16,59,8,0,0,0,12,0,2,140,5.7,1042,13:22,40,103,23,27,46.0
304,Jaden Schwartz\schwaja01,23,LW,STL,33,8,14,22,8,8,7,1,0,1,10,4,0,63,12.7,568,17:12,21,26,15,17,46.9
305,Luke Glendening\glendlu01,26,C,DET,81,8,13,21,4,46,8,0,0,3,13,0,0,88,9.1,1181,14:35,71,143,614,511,54.6
306,Matt Moulson\moulsma01,32,LW,BUF,81,8,13,21,-5,16,6,2,0,1,8,5,0,111,7.2,964,11:54,23,45,0,5,0.0
307,Danny DeKeyser\dekeyda01,25,D,DET,78,8,12,20,2,44,8,0,0,3,12,0,0,72,11.1,1701,21:48,107,88,0,0,
308,Chris Stewart\stewach02,28,RW,ANA,56,8,12,20,2,73,7,1,0,1,8,4,0,78,10.3,605,10:48,10,72,3,6,33.3
309,Reid Boucher\bouchre01,22,LW,NJD,39,8,11,19,-13,6,6,2,0,4,7,4,0,74,10.8,557,14:16,14,32,1,2,33.3
310,Jay Beagle\beaglja01,30,RW,WSH,57,8,9,17,0,24,8,0,0,1,9,0,0,74,10.8,799,14:01,24,55,370,267,58.1
311,Matthew Nieto\nietoma01,23,LW,SJS,67,8,9,17,-8,10,6,0,2,1,8,1,0,90,8.9,882,13:10,33,33,2,6,25.0
312,Viktor Arvidsson\arvidvi01,22,LW,NSH,56,8,8,16,-8,35,7,1,0,3,8,0,0,139,5.8,694,12:24,35,27,0,0,
313,Sam Gagner\gagnesa01,26,C,PHI,53,8,8,16,4,25,6,2,0,2,7,1,0,86,9.3,735,13:52,15,17,34,63,35.1
314,Trevor Lewis\lewistr01,29,C,LAK,75,8,8,16,-10,20,7,0,1,1,7,1,0,167,4.8,1092,14:34,28,168,103,154,40.1
315,Sergey Kalinin\kalinse01,24,C,NJD,78,8,7,15,-9,33,5,3,0,2,7,0,0,70,11.4,1039,13:20,30,146,134,188,41.6
316,Alex Chiasson\chiasal01,25,RW,OTT,77,8,6,14,2,45,5,2,1,1,6,0,0,88,9.1,1050,13:38,28,103,3,2,60.0
317,Eric Fehr\fehrer01,30,C,PIT,55,8,6,14,0,19,4,0,4,2,5,1,0,74,10.8,718,13:03,45,60,107,135,44.2
318,Jack Skille\skillja01,28,RW,COL,74,8,6,14,-4,11,8,0,0,0,6,0,0,106,7.5,654,8:50,25,97,4,15,21.1
319,Andrew Desjardins\desjaan01,29,LW,CHI,77,8,5,13,-8,30,8,0,0,1,5,0,0,96,8.3,1030,13:23,49,102,43,44,49.4
320,Cody McLeod\mcleoco01,31,LW,COL,82,8,5,13,1,138,7,1,0,1,5,0,0,73,11.0,864,10:32,28,240,1,0,100.0
321,Chris Terry\terrych01,26,LW,CAR,68,8,3,11,-12,16,8,0,0,0,3,0,0,78,10.3,767,11:16,21,82,1,8,11.1
322,Frank Vatrano\vatrafr01,21,C,BOS,39,8,3,11,-3,14,8,0,0,1,3,0,0,99,8.1,463,11:53,23,61,0,3,0.0
323,Andy Andreoff\andrean01,24,LW,LAK,60,8,2,10,1,76,8,0,0,1,2,0,0,46,17.4,528,8:48,11,82,134,134,50.0
324,Bobby Farnham\farnhbo01,27,RW,TOT,53,8,2,10,-2,97,8,0,0,0,2,0,0,50,16.0,494,9:19,19,93,2,2,50.0
325,Mike Ribeiro\ribeimi01,35,C,NSH,81,7,43,50,11,62,5,2,0,0,30,13,0,76,9.2,1413,17:27,20,61,288,472,37.9
